,english sentence,korean sentence informal,korean sentence formal,essential pos tagging
0,The sky is blue.,하늘은 파란색이다.,하늘은 파란색입니다.,"['하늘', '파란색']"
1,We live in a big house.,우리는 큰 집에 산다.,우리는 큰 집에 삽니다.,"['우리', '큰', '집', '살다']"
2,My brother is tall.,내 동생은 키가 크다.,내 동생은 키가 큽니다.,"['내', '동생', '키', '큰']"
3,She has a beautiful smile.,그녀는 아름다운 미소를 가지고 있다.,그녀는 아름다운 미소를 가지고 있습니다.,"['그녀', '아름다운', '미소', '가지다']"
4,They play games together.,그들은 함께 게임을 한다.,그들은 함께 게임을 합니다.,"['그들', '함께', '게임', '하다']"
5,The flowers are blooming.,꽃이 피고 있다.,꽃이 피고 있습니다.,"['꽃', '피다']"
6,He likes to draw pictures.,그는 그림 그리는 것을 좋아한다.,그는 그림 그리는 것을 좋아합니다.,"['그', '그림', '그리다', '것', '좋아하다']"
7,I can swim in the pool.,나는 수영장에서 수영할 수 있다.,저는 수영장에서 수영할 수 있습니다.,"['나', '수영장', '수영하다']"
8,We eat breakfast in the morning.,우리는 아침에 아침을 먹는다.,우리는 아침에 아침을 먹습니다.,"['우리', '아침', '아침', '먹다']"
9,The birds are singing.,새들이 노래하고 있다.,새들이 노래하고 있습니다.,"['새들', '노래하다']"
10,She wears a pink dress.,그녀는 분홍색 드레스를 입는다.,그녀는 분홍색 드레스를 입습니다.,"['그녀', '분홍색', '드레스', '입다']"
11,The car is fast.,차가 빠르다.,차가 빠릅니다.,"['차', '빠른']"
12,We watch movies on weekends.,우리는 주말에 영화를 본다.,우리는 주말에 영화를 봅니다.,"['우리', '주말', '영화', '보다']"
13,He reads a book before bedtime.,그는 취침 전에 책을 읽는다.,그는 취침 전에 책을 읽습니다.,"['그', '취침', '전', '책', '읽다']"
14,My mom cooks delicious food.,우리 엄마는 맛있는 음식을 요리한다.,우리 엄마는 맛있는 음식을 요리합니다.,"['우리', '엄마', '맛있는', '음식', '요리하다']"
15,The cat is chasing a mouse.,고양이는 쥐를 쫓고 있다.,고양이는 쥐를 쫓고 있습니다.,"['고양이', '쥐', '쫓다']"
16,They go to the beach in summer.,그들은 여름에 해변에 간다.,그들은 여름에 해변에 갑니다.,"['그들', '여름', '해변', '가다']"
17,I have a blue pen.,나는 파란색 펜을 가지고 있다.,저는 파란색 펜을 가지고 있습니다.,"['나', '파란색', '펜', '가지다']"
18,She dances gracefully.,그녀는 우아하게 춤을 춘다.,그녀는 우아하게 춤을 춥니다.,"['그녀', '우아한', '춤', '추다']"
19,The train is arriving at the station.,기차가 역에 도착하고 있다.,기차가 역에 도착하고 있습니다.,"['기차', '역', '도착하다']"
20,We listen to music in the car.,우리는 차에서 음악을 듣는다.,우리는 차에서 음악을 듣습니다.,"['우리', '차', '음악', '듣다']"
21,He plays the guitar.,그는 기타를 연주한다.,그는 기타를 연주합니다.,"['그', '기타', '연주하다']"
22,The sun sets in the evening.,해는 저녁에 진다.,해는 저녁에 집니다.,"['해', '저녁', '지다']"
23,I drink milk with my cereal.,나는 시리얼과 함께 우유를 마신다.,저는 시리얼과 함께 우유를 마십니다.,"['나', '시리얼', '함께', '우유', '마시다']"
24,She runs in the park.,그녀는 공원에서 달린다.,그녀는 공원에서 달립니다.,"['그녀', '공원', '달리다']"
25,They visit their grandparents.,그들은 그들의 조부모님을 방문한다.,그들은 그들의 조부모님을 방문합니다.,"['그들', '그들', '조부모님', '방문하다']"
26,My dad drives a black car.,우리 아빠는 검은색 차를 운전한다.,우리 아빠는 검은색 차를 운전합니다.,"['우리', '아빠', '검은색', '차', '운전하다']"
27,The dog is barking.,개가 짖고 있다.,개가 짖고 있습니다.,"['개', '짖다']"
28,We do homework after school.,우리는 방과 후에 숙제를 한다.,우리는 방과 후에 숙제를 합니다.,"['우리', '방과 후', '숙제', '하다']"
29,He wears glasses.,그는 안경을 쓴다.,그는 안경을 씁니다.,"['그', '안경', '쓰다']"
30,She writes in her journal.,그녀는 그녀의 일기에 글을 쓴다.,그녀는 그녀의 일기에 글을 씁니다.,"['그녀', '그녀', '일기', '글', '쓰다']"
31,The stars twinkle at night.,별들은 밤에 반짝인다.,별들은 밤에 반짝입니다.,"['별들', '밤', '반짝이다']"
32,I like to eat ice cream.,나는 아이스크림 먹는 것을 좋아한다.,저는 아이스크림 먹는 것을 좋아합니다.,"['나', '아이스크림', '먹다', '것', '좋아하다']"
33,They plant flowers in the garden.,그들은 정원에 꽃을 심는다.,그들은 정원에 꽃을 심습니다.,"['그들', '정원', '꽃', '심다']"
34,The rain is falling.,비가 내리고 있다.,비가 내리고 있습니다.,"['비', '내리다']"
35,We go shopping on Saturdays.,우리는 토요일에 쇼핑하러 간다.,우리는 토요일에 쇼핑하러 갑니다.,"['우리', '토요일', '쇼핑하다', '가다']"
36,He brushes his teeth before bed.,그는 취침 전에 그의 이를 닦는다.,그는 취침 전에 그의 이를 닦습니다.,"['그', '취침', '전', '이', '닦다']"
37,She speaks two languages.,그녀는 두 가지 언어를 사용한다.,그녀는 두 가지 언어를 사용합니다.,"['그녀', '두 가지', '언어', '사용하다']"
38,The airplane flies in the sky.,비행기가 하늘을 난다.,비행기가 하늘을 납니다.,"['비행기', '하늘', '날다']"
39,I play with my friends at recess.,나는 쉬는 시간에 친구들과 논다.,저는 쉬는 시간에 친구들과 놉니다.,"['나', '쉬는 시간', '친구들', '놀다']"
40,They climb trees in the park.,그들은 공원에서 나무를 올라간다.,그들은 공원에서 나무를 올라갑니다.,"['그들', '공원', '나무', '오르다']"
41,My sister sings in the choir.,내 동생은 합창단에서 노래한다.,내 동생은 합창단에서 노래합니다.,"['내', '동생', '합창단', '노래하다']"
42,The clock ticks.,시계가 똑딱거린다.,시계가 똑딱거립니다.,"['시계', '똑딱거리다']"
